City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,makakilo city,21.3469,-158.0858,23.89,64,100,6.69,US,1678225058
83,coracao de jesus,-16.6853,-44.365,22.47,75,99,1.86,BR,1678225058
84,beringovskiy,63.05,179.3167,-21.98,85,7,1.03,RU,1678225059
85,avarua,-21.2078,-159.775,31.03,74,40,6.17,CK,1678225059
86,idritsa,56.3316,28.8988,-3.77,87,100,5.98,RU,1678225060
87,ixtapa,20.7,-105.2,29.65,32,74,3.36,MX,1678225060
88,cabo san lucas,22.8909,-109.9124,27.01,54,97,5.15,MX,1678224834
89,nemuro,43.3236,145.575,0.43,91,25,4.04,JP,1678225060
90,lenggries,47.6833,11.5667,3.34,94,100,1.12,DE,1678225061
91,vaini,-21.2,-175.2,27.09,61,20,4.12,TO,1678225061
92,tiksi,71.6872,128.8694,-25.25,96,100,2.65,RU,1678224901
93,touros,-5.1989,-35.4608,26.97,79,97,7.07,BR,1678224769
94,srednekolymsk,67.45,153.6833,-32.59,93,96,2.7,RU,1678225062
95,inongo,-1.95,18.2667,22.78,85,100,3.33,CD,1678225062
96,pandan,14.0453,124.1694,24.19,80,96,5.67,PH,1678225062
97,nanortalik,60.1432,-45.2371,-1.14,84,43,2.27,GL,1678224914
98,bucksport,44.5737,-68.7956,2.6,66,100,1.34,US,1678225063
99,fortuna,40.5982,-124.1573,7.18,95,75,4.63,US,1678225049
100,mugur-aksy,50.35,90.5,-7.31,76,100,4.03,RU,1678225063
101,urucara,-2.5364,-57.76,23.31,99,100,0.8,BR,1678225064
102,mount gambier,-37.8333,140.7667,12.11,58,100,4.15,AU,1678224901
103,vao,-22.6667,167.4833,25.0,59,58,5.44,NC,1678225064
104,bandarbeyla,9.4942,50.8122,24.72,76,57,4.34,SO,1678224810
105,khatanga,71.9667,102.5,-37.42,100,96,1.95,RU,1678225065
106,berlevag,70.8578,29.0864,-7.0,79,75,9.77,NO,1678224903
107,pithoragarh,29.5833,80.2167,9.48,41,100,1.44,IN,1678225065
108,flin flon,54.7682,-101.865,-13.09,43,0,2.06,CA,1678225066
109,kavaratti,10.5669,72.642,27.14,66,17,1.38,IN,1678225066
110,san policarpo,12.1791,125.5072,25.2,84,27,6.03,PH,1678224772
111,kieta,-6.2167,155.6333,26.3,81,100,0.62,PG,1678225066
112,dingle,10.9995,122.6711,22.35,95,1,3.1,PH,1678225067
113,vila velha,-20.3297,-40.2925,26.97,87,40,3.09,BR,1678225067
114,hilo,19.7297,-155.09,27.38,81,75,4.63,US,1678225068
115,carutapera,-1.195,-46.02,24.65,93,98,3.75,BR,1678225068
116,jieshi,22.8134,115.8257,17.04,87,11,2.91,CN,1678225068
117,airai,-8.9266,125.4092,15.29,88,100,0.67,TL,1678225069
118,leningradskiy,69.3833,178.4167,-30.66,95,62,1.21,RU,1678225069
119,santa rosa de viterbo,-21.4728,-47.3631,21.52,88,97,0.62,BR,1678225069
120,cidreira,-30.1811,-50.2056,24.14,87,18,2.59,BR,1678224790
121,chuy,-33.6971,-53.4616,23.87,85,20,2.53,UY,1678224833
122,tasiilaq,65.6145,-37.6368,-7.91,84,66,1.82,GL,1678224959
123,chanika,-5.4167,38.0167,20.24,91,45,1.05,TZ,1678225070
124,middelkerke,51.1558,2.8418,2.83,97,75,3.09,BE,1678225070
125,deputatskiy,69.3,139.9,-33.97,100,94,1.09,RU,1678225009
126,grindavik,63.8424,-22.4338,-6.03,58,20,12.35,IS,1678224829
127,nioro,13.35,-15.75,31.4,16,80,1.8,GM,1678225071
128,umm lajj,25.0213,37.2685,23.29,63,100,3.32,SA,1678225071
129,luderitz,-26.6481,15.1594,16.11,89,0,3.83,NA,1678225066
130,nyurba,63.2842,118.3319,-28.34,97,74,2.13,RU,1678225072
131,avera,33.194,-82.5271,28.03,41,0,3.37,US,1678225072
